ZCTA	ghi
56091	3.9840002
56093	3.9840002
56096	3.9840002
56097	4.008
56098	4.008
56101	4.0559998
56110	4.104
56111	4.0559998
56113	4.0559998
56114	4.08
56115	4.0559998
56116	4.128
56117	4.104
56118	4.032
56119	4.08
56120	4.032
56121	4.032
56122	4.104
56123	4.0559998
56125	4.08
56127	4.0559998
56128	4.104
73487	4.92
84601	4.752
73491	4.9440002
72032	4.6080003
84604	4.7279997
73501	5.016
84606	4.7279997
72034	4.6080003
72035	4.6080003
84620	4.92
97473	3.696
97476	3.96
97477	3.84
97478	3.816
97479	3.9840002
97480	3.696
97481	4.0559998
97484	4.2720003
97486	3.936
97487	3.8639998
97488	3.84
97489	3.84
97490	3.768
97492	4.08
97493	3.72
97494	3.936
97495	3.96
97496	4.032
97497	4.2720003
97498	3.648
97499	3.84
97501	4.44
97502	4.488
97503	4.416
97504	4.488
97520	4.5360003
97522	4.44
02726	4.104
02738	4.032
02739	4.032
02740	4.104
14135	3.888
14136	3.8639998
14138	3.7919998
14139	3.7919998
14141	3.768
14143	3.84
14145	3.768
14150	3.8639998
14167	3.7919998
56129	4.104
56131	4.08
56132	4.0559998
56134	4.104
56136	4.0559998
56137	4.032
56138	4.128
56139	4.08
56140	4.104
56141	4.08
56142	4.0559998
56143	4.0559998
56144	4.104
56145	4.0559998
56146	4.104
56147	4.08
56149	4.08
56150	4.0559998
56151	4.08
56152	4.032
56153	4.104
56155	4.08
56156	4.104
56157	4.032
56158	4.104
56159	4.032
56160	4.032
56161	4.0559998
56162	4.008
56164	4.104
64641	4.248
64642	4.296
64643	4.32
64644	4.3440003
64645	4.248
64646	4.2720003
64647	4.296
64648	4.32
64649	4.32
64650	4.32
58801	3.912
64651	4.296
64652	4.2720003
58830	3.816
64653	4.2720003
41566	4.2
41567	4.2
41568	4.2
41571	4.2
41572	4.224
41601	4.176
41602	4.176
41603	4.224
12177	3.888
12180	3.888
12182	3.912
12183	3.888
12184	3.912
12185	3.912
12186	3.936
12187	3.912
12188	3.936
12189	3.888
12190	3.8639998
12192	3.936
12193	3.9840002
12194	3.936
94920	4.896
94922	4.968
94923	4.776
94924	4.848
94925	5.088
94928	4.896
94929	4.44
94930	5.04
94931	4.896
94933	4.896
94937	4.584
94938	4.848
94939	5.088
94940	4.776
94941	5.16
94945	5.016
94946	4.992
94947	5.04
94949	5.088
94950	4.848
94951	4.92
20184	4.248
49507	3.912
43123	4.128
37128	4.488
20186	4.296
49508	3.936
